SR.No,Country/other,Total_cases,Total_deaths,Total_recovered,Active_cases,Serious_cases,Total_tests,Population
220,Wallis and Futuna,3550,8,438,3104,0,20508,10982
221,Saint Pierre Miquelon,3452,2,2449,1001,1,25400,5759
222,Tuvalu,2943,1,0,2942,0,0,12066
223,Saint Helena,2166,0,2,2164,0,0,6115
224,Falkland Islands,1930,0,1930,0,0,8632,3539
225,Montserrat,1403,8,1376,19,0,17762,4965
226,Niue,829,0,825,4,0,0,1622
227,Diamond Princess,712,13,699,0,0,0,0
228,Tokelau,80,0,0,80,0,0,1378
229,Vatican City,29,0,29,0,0,0,799
230,Western Sahara,10,1,9,0,0,0,626161
